




Analysis Type:	PANTHER Overrepresentation Test (Released 20210224)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.5228828 Released 2021-08-18
Analyzed List:	H3F3A.intersect_with_DeepZ.unique.txt (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Homo sapiens - REFLIST (20595)	H3F3A.intersect_with_DeepZ.unique.txt (4924)	H3F3A.intersect_with_DeepZ.unique.txt (expected)	H3F3A.intersect_with_DeepZ.unique.txt (over/under)	H3F3A.intersect_with_DeepZ.unique.txt (fold Enrichment)	H3F3A.intersect_with_DeepZ.unique.txt (raw P-value)	H3F3A.intersect_with_DeepZ.unique.txt (FDR)
cellular protein metabolic process (GO:0044267)	3219	1122	769.62	+	1.46	2.28E-31	1.43E-28
intracellular transport (GO:0046907)	1247	434	298.14	+	1.46	1.31E-11	1.70E-09
aging (GO:0007568)	296	103	70.77	+	1.46	1.35E-03	4.12E-02
cellular macromolecule metabolic process (GO:0044260)	4442	1545	1062.03	+	1.45	6.67E-46	2.62E-42
intracellular protein transport (GO:0006886)	689	239	164.73	+	1.45	1.02E-06	7.23E-05
endomembrane system organization (GO:0010256)	493	171	117.87	+	1.45	4.16E-05	2.23E-03
negative regulation of protein phosphorylation (GO:0001933)	327	113	78.18	+	1.45	9.67E-04	3.18E-02
aromatic compound biosynthetic process (GO:0019438)	821	283	196.29	+	1.44	1.31E-07	1.08E-05
organelle organization (GO:0006996)	3360	1158	803.33	+	1.44	5.97E-31	3.35E-28
regulation of cellular protein localization (GO:1903827)	538	185	128.63	+	1.44	2.49E-05	1.38E-03
positive regulation of establishment of protein localization (GO:1904951)	326	112	77.94	+	1.44	1.17E-03	3.69E-02
positive regulation of organelle organization (GO:0010638)	583	200	139.39	+	1.43	1.45E-05	8.28E-04
regulation of cell growth (GO:0001558)	420	144	100.42	+	1.43	2.36E-04	9.82E-03
organonitrogen compound biosynthetic process (GO:1901566)	1250	428	298.86	+	1.43	1.12E-10	1.33E-08
negative regulation of cellular component organization (GO:0051129)	722	247	172.62	+	1.43	1.40E-06	9.52E-05
establishment of organelle localization (GO:0051656)	348	119	83.20	+	1.43	9.00E-04	3.00E-02
positive regulation of nitrogen compound metabolic process (GO:0051173)	2992	1023	715.35	+	1.43	7.85E-26	3.43E-23
apoptotic process (GO:0006915)	905	309	216.37	+	1.43	7.43E-08	6.38E-06
negative regulation of nitrogen compound metabolic process (GO:0051172)	2380	812	569.03	+	1.43	7.98E-20	2.09E-17
regulation of neuron projection development (GO:0010975)	443	151	105.92	+	1.43	2.22E-04	9.29E-03
cell death (GO:0008219)	978	333	233.83	+	1.42	2.88E-08	2.63E-06
regulation of nervous system development (GO:0051960)	438	149	104.72	+	1.42	2.53E-04	1.04E-02
programmed cell death (GO:0012501)	942	320	225.22	+	1.42	5.76E-08	5.14E-06
regulation of binding (GO:0051098)	368	125	87.98	+	1.42	8.15E-04	2.76E-02
organelle localization (GO:0051640)	480	163	114.76	+	1.42	1.41E-04	6.52E-03
negative regulation of protein metabolic process (GO:0051248)	1028	349	245.78	+	1.42	1.47E-08	1.40E-06
regulation of transferase activity (GO:0051338)	873	296	208.72	+	1.42	2.31E-07	1.82E-05
negative regulation of cellular protein metabolic process (GO:0032269)	962	326	230.00	+	1.42	5.15E-08	4.63E-06
establishment of protein localization (GO:0045184)	1273	431	304.36	+	1.42	3.47E-10	3.92E-08
cellular component biogenesis (GO:0044085)	2481	839	593.18	+	1.41	1.10E-19	2.70E-17
cellular macromolecule localization (GO:0070727)	1386	468	331.37	+	1.41	6.78E-11	8.39E-09
cellular protein localization (GO:0034613)	1376	464	328.98	+	1.41	8.90E-11	1.08E-08
negative regulation of cellular metabolic process (GO:0031324)	2546	858	608.72	+	1.41	7.39E-20	1.97E-17
negative regulation of gene expression (GO:0010629)	879	296	210.16	+	1.41	3.72E-07	2.80E-05
regulation of organelle organization (GO:0033043)	1189	400	284.27	+	1.41	3.15E-09	3.19E-07
regulation of establishment of protein localization (GO:0070201)	541	182	129.35	+	1.41	8.51E-05	4.26E-03
positive regulation of cellular metabolic process (GO:0031325)	3186	1070	761.73	+	1.40	6.72E-25	2.64E-22
reproductive structure development (GO:0048608)	415	139	99.22	+	1.40	7.19E-04	2.48E-02
reproductive system development (GO:0061458)	418	140	99.94	+	1.40	7.48E-04	2.57E-02
protein transport (GO:0015031)	1183	396	282.84	+	1.40	5.26E-09	5.23E-07
cellular biosynthetic process (GO:0044249)	2293	766	548.23	+	1.40	7.05E-17	1.50E-14
cellular catabolic process (GO:0044248)	1615	539	386.13	+	1.40	8.23E-12	1.11E-09
macromolecule modification (GO:0043412)	2825	941	675.42	+	1.39	1.10E-20	3.25E-18
protein localization (GO:0008104)	1901	633	454.50	+	1.39	1.20E-13	1.82E-11
cellular response to hormone stimulus (GO:0032870)	484	161	115.72	+	1.39	3.26E-04	1.27E-02
response to oxidative stress (GO:0006979)	382	127	91.33	+	1.39	1.47E-03	4.43E-02
organonitrogen compound catabolic process (GO:1901565)	1029	342	246.02	+	1.39	1.24E-07	1.03E-05
cellular component assembly (GO:0022607)	2251	748	538.19	+	1.39	5.57E-16	9.73E-14
positive regulation of transferase activity (GO:0051347)	551	183	131.74	+	1.39	1.42E-04	6.53E-03
regulation of cellular macromolecule biosynthetic process (GO:2000112)	3906	1297	933.87	+	1.39	2.27E-29	1.19E-26
regulation of macromolecule biosynthetic process (GO:0010556)	3935	1305	940.81	+	1.39	2.04E-29	1.10E-26
positive regulation of macromolecule metabolic process (GO:0010604)	3382	1121	808.59	+	1.39	1.59E-24	5.82E-22
regulation of cell development (GO:0060284)	495	164	118.35	+	1.39	3.72E-04	1.41E-02
chordate embryonic development (GO:0043009)	613	203	146.56	+	1.39	7.01E-05	3.60E-03
brain development (GO:0007420)	761	252	181.95	+	1.39	9.06E-06	5.34E-04
organic substance biosynthetic process (GO:1901576)	2354	779	562.81	+	1.38	2.64E-16	4.94E-14
organelle assembly (GO:0070925)	738	244	176.45	+	1.38	1.43E-05	8.16E-04
regulation of nucleobase-containing compound metabolic process (GO:0019219)	3931	1298	939.85	+	1.38	1.38E-28	6.37E-26
embryo development ending in birth or egg hatching (GO:0009792)	633	209	151.34	+	1.38	6.20E-05	3.24E-03
head development (GO:0060322)	806	266	192.70	+	1.38	6.25E-06	3.82E-04
cellular protein modification process (GO:0006464)	2610	860	624.02	+	1.38	9.39E-18	2.14E-15
protein modification process (GO:0036211)	2610	860	624.02	+	1.38	9.39E-18	2.11E-15
regulation of cellular protein metabolic process (GO:0032268)	2328	767	556.59	+	1.38	9.41E-16	1.63E-13
regulation of protein transport (GO:0051223)	516	170	123.37	+	1.38	3.35E-04	1.30E-02
macromolecule metabolic process (GO:0043170)	5743	1889	1373.08	+	1.38	1.27E-45	3.99E-42
biosynthetic process (GO:0009058)	2420	795	578.59	+	1.37	4.61E-16	8.24E-14
negative regulation of macromolecule metabolic process (GO:0010605)	2737	899	654.38	+	1.37	2.50E-18	5.96E-16
phosphorylation (GO:0016310)	874	287	208.96	+	1.37	3.27E-06	2.09E-04
regulation of protein localization (GO:0032880)	853	280	203.94	+	1.37	4.41E-06	2.76E-04
positive regulation of apoptotic process (GO:0043065)	509	167	121.70	+	1.37	4.44E-04	1.64E-02
regulation of cellular biosynthetic process (GO:0031326)	4088	1341	977.39	+	1.37	1.08E-28	5.13E-26
regulation of RNA metabolic process (GO:0051252)	3698	1213	884.14	+	1.37	1.87E-25	7.75E-23
regulation of protein metabolic process (GO:0051246)	2492	817	595.81	+	1.37	2.21E-16	4.18E-14
regulation of biosynthetic process (GO:0009889)	4152	1361	992.69	+	1.37	3.85E-29	1.95E-26
organic cyclic compound biosynthetic process (GO:1901362)	948	310	226.65	+	1.37	1.81E-06	1.20E-04
nitrogen compound metabolic process (GO:0006807)	6360	2075	1520.59	+	1.36	5.53E-50	4.35E-46
regulation of growth (GO:0040008)	659	215	157.56	+	1.36	8.43E-05	4.23E-03
positive regulation of metabolic process (GO:0009893)	3675	1198	878.65	+	1.36	3.19E-24	1.11E-21
negative regulation of metabolic process (GO:0009892)	2952	959	705.79	+	1.36	1.62E-18	3.93E-16
protein metabolic process (GO:0019538)	3807	1236	910.20	+	1.36	1.31E-24	5.01E-22
organophosphate biosynthetic process (GO:0090407)	490	159	117.15	+	1.36	1.03E-03	3.34E-02
establishment of localization in cell (GO:0051649)	1618	525	386.84	+	1.36	6.03E-10	6.62E-08
positive regulation of protein metabolic process (GO:0051247)	1455	472	347.87	+	1.36	5.36E-09	5.30E-07
positive regulation of cellular protein metabolic process (GO:0032270)	1366	443	326.59	+	1.36	1.74E-08	1.64E-06
regulation of kinase activity (GO:0043549)	752	243	179.79	+	1.35	4.83E-05	2.56E-03
cellular metabolic process (GO:0044237)	7029	2267	1680.54	+	1.35	1.14E-53	1.78E-49
positive regulation of programmed cell death (GO:0043068)	524	169	125.28	+	1.35	8.84E-04	2.96E-02
regulation of nucleic acid-templated transcription (GO:1903506)	3416	1101	816.72	+	1.35	1.29E-20	3.76E-18
regulation of transcription, DNA-templated (GO:0006355)	3415	1100	816.48	+	1.35	1.55E-20	4.44E-18
organic substance catabolic process (GO:1901575)	1587	511	379.43	+	1.35	2.53E-09	2.60E-07
regulation of RNA biosynthetic process (GO:2001141)	3421	1101	817.92	+	1.35	1.99E-20	5.58E-18
regulation of cellular component organization (GO:0051128)	2359	759	564.01	+	1.35	1.12E-13	1.73E-11
regulation of protein modification process (GO:0031399)	1483	476	354.57	+	1.34	1.42E-08	1.36E-06
positive regulation of cellular component organization (GO:0051130)	1119	359	267.54	+	1.34	1.15E-06	7.90E-05
microtubule-based process (GO:0007017)	765	245	182.90	+	1.34	7.70E-05	3.90E-03
regulation of protein kinase activity (GO:0045859)	631	202	150.86	+	1.34	3.47E-04	1.34E-02
cellular localization (GO:0051641)	2264	722	541.29	+	1.33	2.22E-12	3.17E-10
regulation of nitrogen compound metabolic process (GO:0051171)	5537	1763	1323.83	+	1.33	2.26E-34	2.09E-31
primary metabolic process (GO:0044238)	6869	2187	1642.29	+	1.33	5.64E-47	2.95E-43
regulation of transcription by RNA polymerase II (GO:0006357)	2538	808	606.80	+	1.33	1.01E-13	1.57E-11
macromolecule localization (GO:0033036)	2308	733	551.81	+	1.33	2.77E-12	3.89E-10
regulation of primary metabolic process (GO:0080090)	5707	1811	1364.47	+	1.33	5.18E-35	5.08E-32
regulation of apoptotic process (GO:0042981)	1426	452	340.94	+	1.33	1.19E-07	1.00E-05
nitrogen compound transport (GO:0071705)	1578	500	377.28	+	1.33	2.08E-08	1.92E-06
regulation of plasma membrane bounded cell projection organization (GO:0120035)	626	198	149.67	+	1.32	6.39E-04	2.25E-02
regulation of cellular localization (GO:0060341)	820	259	196.05	+	1.32	9.33E-05	4.61E-03
catabolic process (GO:0009056)	1882	594	449.96	+	1.32	1.31E-09	1.38E-07
regulation of cellular metabolic process (GO:0031323)	5928	1871	1417.31	+	1.32	1.96E-35	2.20E-32
cellular component organization or biogenesis (GO:0071840)	5496	1730	1314.02	+	1.32	3.05E-31	1.84E-28
regulation of programmed cell death (GO:0043067)	1456	458	348.11	+	1.32	1.82E-07	1.45E-05
regulation of proteolysis (GO:0030162)	738	232	176.45	+	1.31	3.01E-04	1.20E-02
intracellular signal transduction (GO:0035556)	1464	459	350.02	+	1.31	2.66E-07	2.04E-05
positive regulation of cell death (GO:0010942)	587	184	140.34	+	1.31	1.38E-03	4.19E-02
protein phosphorylation (GO:0006468)	683	214	163.30	+	1.31	5.63E-04	2.02E-02
regulation of cell projection organization (GO:0031344)	643	201	153.73	+	1.31	1.01E-03	3.29E-02
organonitrogen compound metabolic process (GO:1901564)	4787	1495	1144.51	+	1.31	1.36E-24	5.10E-22
neurogenesis (GO:0022008)	1361	425	325.40	+	1.31	1.03E-06	7.20E-05
regulation of cell differentiation (GO:0045595)	1496	467	357.67	+	1.31	2.95E-07	2.25E-05
generation of neurons (GO:0048699)	1237	386	295.75	+	1.31	3.81E-06	2.43E-04
neuron projection development (GO:0031175)	651	203	155.65	+	1.30	1.08E-03	3.46E-02
cellular component organization (GO:0016043)	5298	1652	1266.68	+	1.30	1.08E-27	4.87E-25
embryo development (GO:0009790)	991	309	236.94	+	1.30	4.46E-05	2.38E-03
regulation of gene expression (GO:0010468)	4749	1479	1135.42	+	1.30	8.09E-24	2.76E-21
negative regulation of cell differentiation (GO:0045596)	641	199	153.25	+	1.30	1.35E-03	4.13E-02
regulation of macromolecule metabolic process (GO:0060255)	6083	1887	1454.37	+	1.30	4.89E-32	3.50E-29
organic substance metabolic process (GO:0071704)	7404	2296	1770.20	+	1.30	5.79E-43	1.14E-39
neuron development (GO:0048666)	810	251	193.66	+	1.30	3.42E-04	1.32E-02
immune system development (GO:0002520)	665	206	158.99	+	1.30	1.21E-03	3.77E-02
negative regulation of apoptotic process (GO:0043066)	870	268	208.01	+	1.29	2.98E-04	1.19E-02
positive regulation of catalytic activity (GO:0043085)	1134	349	271.12	+	1.29	3.00E-05	1.65E-03
metabolic process (GO:0008152)	7882	2425	1884.48	+	1.29	1.59E-44	4.15E-41
negative regulation of programmed cell death (GO:0043069)	888	273	212.31	+	1.29	2.56E-04	1.05E-02
response to hormone (GO:0009725)	772	237	184.58	+	1.28	7.24E-04	2.50E-02
regulation of metabolic process (GO:0019222)	6586	2017	1574.63	+	1.28	2.60E-32	2.04E-29
negative regulation of developmental process (GO:0051093)	877	268	209.68	+	1.28	4.18E-04	1.57E-02
regulation of developmental process (GO:0050793)	2368	723	566.16	+	1.28	1.83E-09	1.89E-07
proteolysis (GO:0006508)	1216	371	290.73	+	1.28	3.42E-05	1.87E-03
regulation of cell death (GO:0010941)	1593	486	380.87	+	1.28	1.45E-06	9.82E-05
neuron differentiation (GO:0030182)	1008	307	241.00	+	1.27	1.87E-04	8.05E-03
regulation of multicellular organismal development (GO:2000026)	1294	392	309.38	+	1.27	3.24E-05	1.77E-03
central nervous system development (GO:0007417)	1002	303	239.57	+	1.26	3.13E-04	1.23E-02
positive regulation of gene expression (GO:0010628)	1128	341	269.69	+	1.26	1.34E-04	6.24E-03
positive regulation of protein modification process (GO:0031401)	970	293	231.91	+	1.26	4.40E-04	1.64E-02
positive regulation of developmental process (GO:0051094)	1267	382	302.92	+	1.26	5.43E-05	2.86E-03
phosphorus metabolic process (GO:0006793)	1779	536	425.34	+	1.26	1.32E-06	8.99E-05
cytoskeleton organization (GO:0007010)	1169	352	279.49	+	1.26	1.31E-04	6.15E-03
phosphate-containing compound metabolic process (GO:0006796)	1758	529	420.32	+	1.26	1.75E-06	1.17E-04
negative regulation of cell death (GO:0060548)	982	295	234.78	+	1.26	5.41E-04	1.95E-02
positive regulation of cell differentiation (GO:0045597)	833	250	199.16	+	1.26	1.63E-03	4.81E-02
response to organonitrogen compound (GO:0010243)	984	295	235.26	+	1.25	6.24E-04	2.21E-02
positive regulation of cellular process (GO:0048522)	5580	1672	1334.11	+	1.25	3.19E-21	9.82E-19
regulation of response to stress (GO:0080134)	1240	369	296.47	+	1.24	1.73E-04	7.52E-03
positive regulation of molecular function (GO:0044093)	1497	444	357.91	+	1.24	4.64E-05	2.47E-03
negative regulation of cellular process (GO:0048523)	4785	1417	1144.03	+	1.24	9.46E-16	1.62E-13
nervous system development (GO:0007399)	2193	649	524.32	+	1.24	6.63E-07	4.78E-05
regulation of catalytic activity (GO:0050790)	2393	708	572.14	+	1.24	1.75E-07	1.40E-05
regulation of phosphate metabolic process (GO:0019220)	1379	407	329.70	+	1.23	1.47E-04	6.69E-03
regulation of phosphorus metabolic process (GO:0051174)	1379	407	329.70	+	1.23	1.47E-04	6.67E-03
negative regulation of signal transduction (GO:0009968)	1204	355	287.86	+	1.23	4.42E-04	1.64E-02
organic substance transport (GO:0071702)	1927	567	460.72	+	1.23	7.08E-06	4.26E-04
response to nitrogen compound (GO:1901698)	1071	315	256.06	+	1.23	1.12E-03	3.54E-02
positive regulation of biological process (GO:0048518)	6062	1781	1449.35	+	1.23	1.01E-19	2.57E-17
regulation of phosphorylation (GO:0042325)	1236	363	295.51	+	1.23	4.58E-04	1.69E-02
negative regulation of molecular function (GO:0044092)	1132	332	270.65	+	1.23	9.29E-04	3.07E-02
plasma membrane bounded cell projection organization (GO:0120036)	1068	312	255.35	+	1.22	1.59E-03	4.72E-02
negative regulation of biological process (GO:0048519)	5187	1514	1240.15	+	1.22	3.66E-15	6.05E-13
negative regulation of cell communication (GO:0010648)	1301	378	311.05	+	1.22	6.90E-04	2.40E-02
negative regulation of signaling (GO:0023057)	1305	379	312.01	+	1.21	7.01E-04	2.43E-02
regulation of molecular function (GO:0065009)	3060	887	731.61	+	1.21	5.91E-08	5.19E-06
regulation of signal transduction (GO:0009966)	2867	830	685.46	+	1.21	2.41E-07	1.88E-05
regulation of intracellular signal transduction (GO:1902531)	1655	479	395.69	+	1.21	1.54E-04	6.89E-03
regulation of signaling (GO:0023051)	3257	934	778.71	+	1.20	1.22E-07	1.02E-05
regulation of cell communication (GO:0010646)	3242	929	775.12	+	1.20	1.63E-07	1.32E-05
cell development (GO:0048468)	1623	459	388.04	+	1.18	1.06E-03	3.40E-02
positive regulation of signaling (GO:0023056)	1639	463	391.86	+	1.18	1.11E-03	3.51E-02
positive regulation of cell communication (GO:0010647)	1632	460	390.19	+	1.18	1.32E-03	4.06E-02
cellular developmental process (GO:0048869)	3463	971	827.96	+	1.17	1.80E-06	1.20E-04
regulation of multicellular organismal process (GO:0051239)	2578	721	616.37	+	1.17	8.62E-05	4.30E-03
cell differentiation (GO:0030154)	3403	945	813.61	+	1.16	1.03E-05	5.98E-04
multicellular organism development (GO:0007275)	4525	1248	1081.87	+	1.15	5.01E-07	3.69E-05
anatomical structure morphogenesis (GO:0009653)	2130	587	509.26	+	1.15	1.42E-03	4.33E-02
response to organic substance (GO:0010033)	2688	740	642.67	+	1.15	3.10E-04	1.22E-02
system development (GO:0048731)	4169	1142	996.75	+	1.15	5.78E-06	3.55E-04
anatomical structure development (GO:0048856)	5001	1357	1195.67	+	1.13	2.21E-06	1.43E-04
animal organ development (GO:0048513)	3079	835	736.15	+	1.13	5.04E-04	1.83E-02
developmental process (GO:0032502)	5565	1506	1330.52	+	1.13	6.31E-07	4.60E-05
regulation of response to stimulus (GO:0048583)	3805	1025	909.73	+	1.13	1.94E-04	8.20E-03
establishment of localization (GO:0051234)	3911	1049	935.07	+	1.12	2.63E-04	1.07E-02
response to stress (GO:0006950)	3336	891	797.59	+	1.12	1.47E-03	4.45E-02
transport (GO:0006810)	3752	994	897.06	+	1.11	1.58E-03	4.69E-02
cellular process (GO:0009987)	15074	3988	3604.00	+	1.11	5.60E-31	3.26E-28
localization (GO:0051179)	5081	1331	1214.80	+	1.10	6.69E-04	2.34E-02
regulation of cellular process (GO:0050794)	11076	2897	2648.13	+	1.09	1.47E-10	1.73E-08
regulation of biological process (GO:0050789)	11528	2990	2756.20	+	1.08	1.39E-09	1.46E-07
biological regulation (GO:0065007)	12249	3151	2928.58	+	1.08	5.25E-09	5.25E-07
biological_process (GO:0008150)	17698	4473	4231.36	+	1.06	2.20E-21	6.93E-19
response to biotic stimulus (GO:0009607)	1418	278	339.03	-	.82	1.61E-03	4.77E-02
immune system process (GO:0002376)	2370	449	566.64	-	.79	1.02E-06	7.21E-05
response to other organism (GO:0051707)	1372	258	328.03	-	.79	2.14E-04	9.01E-03
response to external biotic stimulus (GO:0043207)	1373	258	328.27	-	.79	1.90E-04	8.09E-03
positive regulation of immune system process (GO:0002684)	898	157	214.70	-	.73	1.51E-04	6.78E-03
system process (GO:0003008)	2040	330	487.74	-	.68	7.12E-13	1.04E-10
positive regulation of cell activation (GO:0050867)	437	70	104.48	-	.67	1.18E-03	3.69E-02
positive regulation of leukocyte activation (GO:0002696)	426	68	101.85	-	.67	1.25E-03	3.86E-02
innate immune response (GO:0045087)	783	124	187.21	-	.66	6.53E-06	3.96E-04
positive regulation of immune response (GO:0050778)	563	88	134.61	-	.65	1.03E-04	5.04E-03
Unclassified (UNCLASSIFIED)	2897	451	692.64	-	.65	2.20E-21	7.07E-19
defense response to other organism (GO:0098542)	989	152	236.46	-	.64	5.77E-08	5.12E-06
defense response (GO:0006952)	1387	211	331.61	-	.64	3.33E-11	4.19E-09
response to bacterium (GO:0009617)	722	107	172.62	-	.62	8.06E-07	5.78E-05
regulation of immune effector process (GO:0002697)	339	50	81.05	-	.62	9.23E-04	3.06E-02
immune effector process (GO:0002252)	435	64	104.00	-	.62	1.48E-04	6.69E-03
immune response (GO:0006955)	1678	237	401.19	-	.59	7.20E-17	1.51E-14
positive regulation of cytosolic calcium ion concentration (GO:0007204)	284	40	67.90	-	.59	1.07E-03	3.44E-02
immune response-regulating signaling pathway (GO:0002764)	363	51	86.79	-	.59	1.59E-04	7.04E-03
nervous system process (GO:0050877)	1418	195	339.03	-	.58	1.79E-15	3.03E-13
leukocyte mediated immunity (GO:0002443)	282	38	67.42	-	.56	4.55E-04	1.68E-02
adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains (GO:0002460)	245	33	58.58	-	.56	1.26E-03	3.90E-02
inflammatory response (GO:0006954)	502	67	120.02	-	.56	1.56E-06	1.05E-04
leukocyte migration (GO:0050900)	229	30	54.75	-	.55	1.12E-03	3.54E-02
hormone metabolic process (GO:0042445)	199	25	47.58	-	.53	1.55E-03	4.64E-02
immune response-regulating cell surface receptor signaling pathway (GO:0002768)	290	36	69.34	-	.52	7.02E-05	3.60E-03
immune response-activating cell surface receptor signaling pathway (GO:0002429)	263	32	62.88	-	.51	1.05E-04	5.13E-03
immune response-activating signal transduction (GO:0002757)	263	32	62.88	-	.51	1.05E-04	5.12E-03
antigen receptor-mediated signaling pathway (GO:0050851)	216	26	51.64	-	.50	4.05E-04	1.53E-02
B cell mediated immunity (GO:0019724)	183	22	43.75	-	.50	1.29E-03	3.98E-02
positive regulation of B cell activation (GO:0050871)	171	19	40.88	-	.46	6.05E-04	2.14E-02
regulation of interleukin-6 production (GO:0032675)	141	15	33.71	-	.44	1.48E-03	4.44E-02
plasma membrane invagination (GO:0099024)	141	15	33.71	-	.44	1.48E-03	4.43E-02
leukocyte chemotaxis (GO:0030595)	145	15	34.67	-	.43	8.36E-04	2.81E-02
sensory perception (GO:0007600)	978	95	233.83	-	.41	6.77E-22	2.26E-19
immunoglobulin production (GO:0002377)	155	15	37.06	-	.40	2.70E-04	1.09E-02
cell killing (GO:0001906)	125	12	29.89	-	.40	1.02E-03	3.31E-02
production of molecular mediator of immune response (GO:0002440)	158	15	37.78	-	.40	1.47E-04	6.66E-03
myeloid leukocyte migration (GO:0097529)	124	11	29.65	-	.37	4.30E-04	1.61E-02
G protein-coupled receptor signaling pathway (GO:0007186)	1216	105	290.73	-	.36	5.14E-32	3.52E-29
adaptive immune response (GO:0002250)	640	55	153.02	-	.36	3.28E-17	7.17E-15
granulocyte migration (GO:0097530)	96	8	22.95	-	.35	1.65E-03	4.86E-02
phagocytosis, engulfment (GO:0006911)	132	11	31.56	-	.35	1.69E-04	7.38E-03
neutrophil migration (GO:1990266)	88	7	21.04	-	.33	1.65E-03	4.86E-02
antimicrobial humoral immune response mediated by antimicrobial peptide (GO:0061844)	102	8	24.39	-	.33	6.17E-04	2.19E-02
humoral immune response mediated by circulating immunoglobulin (GO:0002455)	128	10	30.60	-	.33	1.25E-04	5.90E-03
humoral immune response (GO:0006959)	337	24	80.57	-	.30	9.50E-12	1.26E-09
defense response to bacterium (GO:0042742)	350	23	83.68	-	.27	4.16E-13	6.17E-11
complement activation, classical pathway (GO:0006958)	124	8	29.65	-	.27	2.09E-05	1.17E-03
antimicrobial humoral response (GO:0019730)	141	9	33.71	-	.27	5.72E-06	3.53E-04
detection of stimulus (GO:0051606)	694	44	165.93	-	.27	8.68E-26	3.69E-23
chemokine-mediated signaling pathway (GO:0070098)	80	5	19.13	-	.26	7.91E-04	2.68E-02
killing of cells of other organism (GO:0031640)	86	5	20.56	-	.24	2.67E-04	1.09E-02
complement activation (GO:0006956)	139	8	33.23	-	.24	2.60E-06	1.67E-04
phospholipase C-activating G protein-coupled receptor signaling pathway (GO:0007200)	100	4	23.91	-	.17	7.89E-06	4.69E-04
B cell receptor signaling pathway (GO:0050853)	130	5	31.08	-	.16	1.40E-07	1.14E-05
keratinization (GO:0031424)	58	2	13.87	-	.14	4.66E-04	1.71E-02
phagocytosis, recognition (GO:0006910)	107	3	25.58	-	.12	3.22E-07	2.44E-05
monocyte chemotaxis (GO:0002548)	42	1	10.04	-	.10	1.67E-03	4.92E-02
detection of chemical stimulus (GO:0009593)	524	11	125.28	-	.09	4.20E-35	4.40E-32
lymphocyte chemotaxis (GO:0048247)	50	1	11.95	-	.08	4.95E-04	1.80E-02
detection of stimulus involved in sensory perception (GO:0050906)	558	11	133.41	-	.08	4.52E-38	6.46E-35
sensory perception of chemical stimulus (GO:0007606)	542	8	129.59	-	.06	6.80E-40	1.07E-36
sensory perception of taste (GO:0050909)	68	1	16.26	-	.06	1.02E-05	5.95E-04
sensory perception of smell (GO:0007608)	468	6	111.89	-	.05	1.33E-35	1.61E-32
detection of chemical stimulus involved in sensory perception of smell (GO:0050911)	443	1	105.92	-	 < 0.01	2.92E-40	5.10E-37
detection of chemical stimulus involved in sensory perception (GO:0050907)	488	1	116.67	-	 < 0.01	2.24E-44	5.03E-41
detection of chemical stimulus involved in sensory perception of bitter taste (GO:0001580)	36	0	8.61	-	 < 0.01	9.46E-04	3.12E-02
sensory perception of bitter taste (GO:0050913)	41	0	9.80	-	 < 0.01	2.28E-04	9.51E-03
detection of chemical stimulus involved in sensory perception of taste (GO:0050912)	42	0	10.04	-	 < 0.01	2.37E-04	9.83E-03
